city,propertyType,bedrooms,bathrooms,area,age,parking,furnished,price
Hyderabad,Villa,1,3,2567,13,2,Fully Furnished,35114569
Ahmedabad,Villa,2,3,3423,13,0,Semi Furnished,25561001
Mumbai,Apartment,5,1,3426,23,0,Fully Furnished,42902461
Rajkot,House,1,1,1532,23,1,Fully Furnished,7476820
Bangalore,Villa,3,4,2499,23,3,Unfurnished,38790053
Pune,Villa,1,2,1328,12,0,Semi Furnished,18627455
Bangalore,Commercial,1,2,2604,23,0,Semi Furnished,44625480
Rajkot,Villa,3,2,900,11,3,Unfurnished,6323170
Mumbai,House,3,1,3765,5,2,Semi Furnished,55346296
Bangalore,House,1,4,1563,8,2,Semi Furnished,19001814
Surat,House,2,1,3159,7,0,Fully Furnished,17248173
Jaipur,Commercial,5,4,3193,17,3,Semi Furnished,29947265
Ahmedabad,Villa,3,3,3337,14,1,Semi Furnished,25499612
Rajkot,House,4,3,3800,1,0,Fully Furnished,18345172
Delhi,Villa,1,2,4838,11,2,Semi Furnished,78313655
Hyderabad,Commercial,1,2,1865,19,2,Fully Furnished,28854892
Bangalore,Apartment,3,4,2422,12,1,Semi Furnished,24238492
Surat,Commercial,2,2,1406,18,2,Unfurnished,11046206
Bangalore,Commercial,3,2,3925,19,2,Semi Furnished,68373316
Surat,Villa,5,4,2344,12,3,Semi Furnished,17951869
Hyderabad,House,2,4,2862,0,2,Semi Furnished,29642718
Surat,Commercial,5,4,3926,13,1,Fully Furnished,31786011
Jaipur,House,2,1,3848,0,2,Fully Furnished,23926561
Vadodara,Commercial,1,3,686,23,3,Fully Furnished,6376894
Rajkot,House,4,3,2460,5,3,Fully Furnished,12766490
Pune,House,3,1,753,6,3,Semi Furnished,9187550
Jaipur,Commercial,2,2,4279,16,0,Fully Furnished,38217910
Vadodara,House,4,1,556,23,0,Fully Furnished,4153165
Delhi,Commercial,4,1,3916,8,0,Fully Furnished,72548118
Ahmedabad,Commercial,4,1,2899,25,3,Fully Furnished,25048744
Pune,Commercial,5,4,4010,25,0,Unfurnished,62231075
Mumbai,Apartment,2,3,3882,21,2,Unfurnished,47113875
Hyderabad,House,3,1,3203,20,0,Semi Furnished,32482975
Rajkot,Villa,3,3,4142,10,3,Fully Furnished,25315650
Jaipur,Villa,5,1,1647,4,2,Unfurnished,14130717
Pune,Villa,3,3,1796,18,2,Semi Furnished,25886829
Mumbai,House,2,2,2894,12,2,Fully Furnished,43212589
Ahmedabad,House,5,3,1715,18,0,Semi Furnished,10842851
Delhi,Commercial,4,2,3319,20,1,Fully Furnished,61717436
Pune,Villa,4,4,1885,16,3,Unfurnished,27293509
Bangalore,Apartment,1,3,2341,9,1,Unfurnished,22571879
Mumbai,Apartment,2,3,4586,14,0,Fully Furnished,56631577
Rajkot,House,3,1,3764,20,0,Semi Furnished,16790864
Surat,Villa,5,1,958,14,1,Unfurnished,7556271
Vadodara,House,2,4,1953,1,2,Fully Furnished,11205995
Surat,House,1,2,4780,9,0,Unfurnished,24254841
Rajkot,Commercial,4,1,4898,25,0,Semi Furnished,31509003
Rajkot,Commercial,1,4,1183,15,1,Unfurnished,8146614
Jaipur,House,5,4,2957,18,0,Fully Furnished,19282951
Surat,Commercial,2,4,504,8,3,Fully Furnished,5844134
Hyderabad,House,3,4,4712,9,2,Semi Furnished,48249121
Rajkot,Villa,3,3,4104,3,1,Semi Furnished,24214233
Pune,Commercial,4,2,1964,2,3,Fully Furnished,32568639
Surat,Commercial,3,2,2085,24,0,Unfurnished,16036173
Mumbai,Villa,3,4,1343,21,2,Fully Furnished,27531107
Jaipur,House,3,2,2072,24,3,Unfurnished,12600335
Jaipur,House,3,4,3915,24,2,Unfurnished,23376023
Hyderabad,Villa,3,2,3008,10,2,Fully Furnished,41395624
Hyderabad,Villa,4,4,3917,0,3,Unfurnished,53369685
Pune,House,4,3,659,22,1,Unfurnished,7590161
Mumbai,Villa,1,3,4002,25,3,Semi Furnished,77898576
Delhi,House,2,4,2744,3,0,Unfurnished,33621210
Pune,Commercial,5,4,876,24,3,Fully Furnished,16013499
Rajkot,Villa,5,4,985,3,0,Fully Furnished,8050338
Mumbai,Villa,4,3,1409,15,1,Fully Furnished,28805382
Pune,Commercial,2,2,2948,18,1,Fully Furnished,46196680
Hyderabad,House,3,3,4850,9,0,Unfurnished,48320307
Pune,Villa,4,2,2008,10,3,Unfurnished,28891987
Pune,Villa,2,3,2591,19,0,Unfurnished,35387580
Bangalore,Commercial,4,4,893,16,0,Fully Furnished,17261916
Ahmedabad,Commercial,1,3,4913,15,2,Fully Furnished,41220264
Surat,Apartment,5,1,1420,17,1,Fully Furnished,7730991
Jaipur,Commercial,5,2,1098,24,3,Semi Furnished,11375057
Hyderabad,House,3,1,1988,20,2,Semi Furnished,20865268
Bangalore,Apartment,4,3,552,19,3,Unfurnished,6227952
Rajkot,Villa,4,2,2620,7,2,Fully Furnished,17076989
Rajkot,Villa,5,2,2047,24,1,Unfurnished,12486666
Vadodara,Apartment,1,1,1543,17,2,Unfurnished,6286067
Pune,House,2,2,2981,5,3,Semi Furnished,31775496
Rajkot,Villa,1,2,4101,3,3,Unfurnished,23956117
Rajkot,Commercial,1,4,4092,12,1,Unfurnished,26378588
Jaipur,Apartment,1,2,4650,18,0,Unfurnished,22239821
Surat,Commercial,5,3,3095,13,1,Unfurnished,24568401
Delhi,Villa,4,3,4667,3,3,Unfurnished,76054608
Bangalore,Commercial,4,1,3405,11,2,Unfurnished,59505738
Mumbai,House,1,4,4361,0,2,Fully Furnished,64687374
Ahmedabad,House,2,2,575,4,1,Unfurnished,4047634
Ahmedabad,Apartment,5,2,2900,11,3,Unfurnished,14814604
Vadodara,House,5,2,1987,11,0,Unfurnished,10205596
Hyderabad,House,3,4,3557,8,2,Unfurnished,35977964
Pune,Apartment,4,1,1682,13,0,Fully Furnished,16067351
Jaipur,House,2,1,622,11,1,Unfurnished,4197999
Surat,Apartment,4,4,3900,17,3,Unfurnished,17505756
Mumbai,Commercial,4,3,1550,10,2,Fully Furnished,35531080
Hyderabad,Commercial,5,2,1530,7,1,Unfurnished,23944308
Surat,Apartment,4,3,1362,7,1,Semi Furnished,7288995
Mumbai,Villa,4,3,1578,10,3,Semi Furnished,32049875
Jaipur,Apartment,4,1,2121,5,0,Unfurnished,10891571
Rajkot,House,4,3,595,18,3,Semi Furnished,4259607
Rajkot,Commercial,4,2,4212,19,2,Fully Furnished,28621829
Surat,Villa,5,3,3262,5,2,Semi Furnished,24256668
Delhi,Commercial,1,3,4752,8,0,Semi Furnished,86433232
Ahmedabad,House,1,2,4247,3,0,Fully Furnished,24218878
Vadodara,Villa,3,4,4073,17,0,Fully Furnished,26932002
Bangalore,House,2,2,636,6,2,Fully Furnished,8859543
Jaipur,Apartment,5,3,4919,7,1,Semi Furnished,25402661
Surat,House,5,2,1745,17,3,Unfurnished,10261745
Ahmedabad,Commercial,3,4,4774,13,3,Semi Furnished,40381958
Vadodara,Villa,1,1,2558,22,2,Unfurnished,15831980
Ahmedabad,Commercial,2,2,4439,5,1,Semi Furnished,36948088
Bangalore,Commercial,5,2,2536,11,0,Unfurnished,44530235
Vadodara,Commercial,1,2,2186,14,1,Fully Furnished,16484571
Pune,Apartment,1,3,4794,3,3,Unfurnished,41833561
Mumbai,Apartment,5,4,1758,2,2,Semi Furnished,23138961
Bangalore,Villa,1,4,3989,18,1,Fully Furnished,62093775
Mumbai,House,5,1,1225,23,2,Unfurnished,18933554
Bangalore,Commercial,1,1,2795,23,2,Semi Furnished,48501991
Pune,Commercial,3,3,1180,0,0,Fully Furnished,20213134
Rajkot,Commercial,2,4,2677,3,3,Fully Furnished,19333195
Bangalore,Commercial,1,1,1307,18,0,Unfurnished,22199905
Pune,Commercial,4,1,3345,20,3,Semi Furnished,52876659
Ahmedabad,Commercial,4,1,2269,18,1,Unfurnished,19223841
Surat,Villa,4,1,4240,8,2,Fully Furnished,30653562
Pune,House,3,4,891,10,3,Fully Furnished,11314157
Vadodara,House,5,3,3787,24,2,Unfurnished,19197276
Surat,Villa,3,2,3093,9,0,Fully Furnished,22204785
Bangalore,Villa,5,4,2025,24,3,Unfurnished,32257537
Hyderabad,Villa,3,4,3461,24,1,Unfurnished,46146758
Ahmedabad,Apartment,2,3,4646,22,2,Fully Furnished,22621400
Vadodara,Commercial,5,1,2127,2,0,Fully Furnished,17255832
Mumbai,House,3,3,3750,4,3,Unfurnished,55408189
Jaipur,Apartment,3,2,4125,1,1,Fully Furnished,21637541
Mumbai,Apartment,4,2,2293,7,1,Semi Furnished,29017458
Vadodara,Apartment,3,2,670,19,3,Semi Furnished,4072661
Delhi,House,4,2,4748,18,3,Fully Furnished,59181907
Mumbai,Villa,3,4,3532,11,1,Semi Furnished,69506018
Pune,Apartment,2,3,2522,25,1,Unfurnished,21994103
Hyderabad,Villa,1,2,3353,22,1,Semi Furnished,44423566
Jaipur,Apartment,4,4,4572,18,3,Unfurnished,23225264
Ahmedabad,Commercial,5,1,3347,15,1,Unfurnished,28307328
Surat,Villa,5,3,725,22,3,Semi Furnished,6561834
Bangalore,House,4,3,4910,22,2,Semi Furnished,57367861
Jaipur,Commercial,2,3,555,19,0,Fully Furnished,6095956
Jaipur,Apartment,1,1,4839,13,1,Fully Furnished,24206272
Rajkot,House,2,1,4554,23,0,Semi Furnished,19345234
Surat,Commercial,5,4,3838,12,3,Unfurnished,30875251
Vadodara,Apartment,3,3,1953,22,3,Semi Furnished,9190654
Surat,House,3,4,2143,7,2,Fully Furnished,12761250
Pune,Commercial,1,3,667,19,0,Fully Furnished,10942119
Pune,Apartment,2,1,4834,0,0,Semi Furnished,42192443
Mumbai,Apartment,5,3,1068,5,1,Fully Furnished,15513401
Vadodara,House,3,1,1767,19,2,Fully Furnished,9730082
Hyderabad,House,5,2,4146,0,0,Fully Furnished,42972765
Mumbai,Villa,1,3,1977,18,1,Unfurnished,38430224
Rajkot,House,5,3,4224,21,3,Semi Furnished,19437834
Delhi,Apartment,3,2,3495,4,1,Semi Furnished,36247488
Bangalore,Apartment,3,1,4435,25,0,Fully Furnished,43052871
Pune,Commercial,5,2,2814,10,1,Semi Furnished,44711861
Mumbai,Commercial,4,4,3588,2,3,Unfurnished,79515901
Surat,Villa,5,4,3685,9,3,Semi Furnished,26795992
Delhi,Apartment,2,1,3015,18,1,Fully Furnished,31378889
Ahmedabad,Apartment,1,3,3653,6,2,Fully Furnished,17793482
Bangalore,House,5,3,866,6,0,Semi Furnished,11567126
Rajkot,Villa,1,2,4557,6,0,Unfurnished,25919219
Rajkot,Apartment,3,1,2469,21,2,Unfurnished,9375356
Rajkot,Villa,4,1,1777,4,1,Fully Furnished,11971926
Bangalore,Villa,2,3,3852,22,0,Semi Furnished,59334132
Bangalore,Villa,2,4,2576,19,0,Fully Furnished,40594878
Ahmedabad,Commercial,2,2,1077,20,0,Unfurnished,8790343
Hyderabad,Apartment,2,3,1871,23,2,Fully Furnished,16884747
Mumbai,Villa,3,3,1388,24,0,Semi Furnished,27411544
Surat,Commercial,2,2,4745,1,3,Semi Furnished,37211855
Surat,House,1,4,2011,2,0,Unfurnished,10892565
Jaipur,Villa,4,2,4121,19,0,Fully Furnished,33502363
Rajkot,House,3,1,616,4,2,Semi Furnished,3921255
Pune,Commercial,2,1,3705,12,1,Semi Furnished,57766654
Surat,House,2,2,3251,21,3,Unfurnished,17171969
Surat,House,5,3,1819,4,2,Unfurnished,10734535
Surat,Commercial,5,1,1891,23,2,Semi Furnished,15511256
Vadodara,Apartment,2,1,3622,0,0,Semi Furnished,15420295
Surat,House,1,1,662,20,3,Fully Furnished,4641287
Mumbai,Commercial,4,2,4518,19,2,Semi Furnished,99190885
Hyderabad,House,4,3,2333,4,2,Fully Furnished,25239542
Bangalore,Villa,2,3,671,13,2,Unfurnished,10718822
Hyderabad,Commercial,5,2,3795,4,2,Unfurnished,57789704
Bangalore,Commercial,4,4,4136,12,3,Semi Furnished,72729810
Pune,Commercial,2,2,2515,6,1,Fully Furnished,39983554
Jaipur,Villa,4,4,3570,20,2,Unfurnished,28729511
Vadodara,Commercial,1,4,2960,24,3,Unfurnished,21188296
Rajkot,Villa,5,2,3648,16,3,Unfurnished,22093298
Ahmedabad,House,4,2,2739,23,1,Fully Furnished,16586998
Jaipur,House,2,4,3092,14,1,Fully Furnished,19246816
Hyderabad,Villa,5,1,1295,25,0,Unfurnished,17437908
Ahmedabad,Apartment,3,1,3066,11,1,Fully Furnished,15279918
Rajkot,Villa,1,3,3084,18,3,Semi Furnished,18275469
Vadodara,Villa,3,1,1809,4,1,Semi Furnished,12412353
Delhi,Commercial,2,4,2803,22,1,Unfurnished,50807769
Hyderabad,Apartment,1,2,3620,15,3,Semi Furnished,30487738
Ahmedabad,Villa,4,2,4164,0,3,Fully Furnished,32825115
Pune,Villa,1,3,1064,5,1,Fully Furnished,15960082
Bangalore,House,1,2,3127,9,0,Semi Furnished,36491582
Ahmedabad,Commercial,2,3,2570,6,2,Fully Furnished,22391583
Hyderabad,Villa,2,1,2456,22,2,Semi Furnished,33143458
Bangalore,Villa,1,3,4252,21,0,Semi Furnished,65333452
Ahmedabad,House,5,1,657,9,3,Unfurnished,5315757
Bangalore,Commercial,1,3,3573,10,2,Fully Furnished,62743435
Bangalore,Villa,2,3,2642,17,1,Semi Furnished,41078722
Mumbai,Apartment,4,1,3110,16,0,Unfurnished,37854769
Surat,House,1,2,3558,2,1,Fully Furnished,19330775
Surat,Apartment,1,1,3294,19,0,Unfurnished,13892945
Pune,Apartment,5,1,960,22,1,Unfurnished,8895097
Vadodara,Apartment,1,1,4046,25,1,Unfurnished,15406827
Surat,Commercial,3,2,4399,6,3,Fully Furnished,35301543
Hyderabad,Villa,5,1,4125,5,0,Unfurnished,55229393
Rajkot,Villa,2,2,1515,22,0,Unfurnished,8530134
Pune,House,2,4,2930,19,3,Fully Furnished,31660266
Rajkot,Commercial,3,3,2472,16,0,Fully Furnished,17087493
Mumbai,House,1,1,1014,15,2,Fully Furnished,15539938
Jaipur,Commercial,1,4,598,23,0,Semi Furnished,5720759
Jaipur,Apartment,5,3,3113,14,2,Fully Furnished,17546187
Pune,Commercial,3,4,3067,17,1,Unfurnished,47678937
Ahmedabad,Villa,4,4,4281,10,3,Semi Furnished,33010150
Hyderabad,House,2,4,3937,0,1,Semi Furnished,40290067
Vadodara,Commercial,3,1,4058,25,1,Unfurnished,28755003
Rajkot,Apartment,1,4,4368,4,2,Semi Furnished,16445362
Ahmedabad,Commercial,4,2,2986,17,2,Unfurnished,25160772
Hyderabad,Commercial,4,4,1809,15,0,Semi Furnished,27937001
Surat,Villa,4,3,1658,7,3,Unfurnished,12853329
Hyderabad,Apartment,3,2,3273,20,2,Fully Furnished,28638436
Jaipur,Apartment,5,2,4838,9,2,Fully Furnished,25738890
Vadodara,Villa,5,4,1017,0,3,Semi Furnished,8983336
Rajkot,House,3,2,3060,20,3,Semi Furnished,14433955
Pune,Villa,2,2,3136,25,1,Fully Furnished,43723131
Rajkot,Commercial,5,4,658,10,0,Semi Furnished,5800961
Jaipur,Villa,1,4,4290,19,2,Unfurnished,33593519
Bangalore,House,3,2,3480,24,0,Semi Furnished,40380563
Rajkot,Apartment,3,3,4453,17,1,Semi Furnished,16796081
Hyderabad,Villa,5,2,2041,19,0,Semi Furnished,27916424
Rajkot,Villa,2,4,3965,22,0,Semi Furnished,22927665
Rajkot,House,3,1,736,20,3,Unfurnished,3977738
Hyderabad,House,4,4,1785,19,3,Semi Furnished,19152378
Mumbai,Commercial,3,2,4213,9,1,Fully Furnished,92610579
Pune,Apartment,1,1,3174,17,3,Semi Furnished,27602638
Pune,Commercial,5,1,4057,20,2,Semi Furnished,63508744
Pune,Apartment,3,3,822,16,0,Fully Furnished,8375272
Hyderabad,Apartment,1,2,1741,3,1,Fully Furnished,15647629
Surat,Villa,3,3,1164,13,2,Unfurnished,9063457
Bangalore,Apartment,5,4,3743,22,1,Fully Furnished,37502319
Rajkot,Commercial,2,1,2636,7,1,Unfurnished,17466574
Ahmedabad,Apartment,2,4,847,1,1,Unfurnished,4696544
Vadodara,Villa,3,4,3742,0,2,Semi Furnished,24924735
Bangalore,Apartment,1,2,794,6,1,Fully Furnished,9108338
Ahmedabad,Villa,1,3,4670,5,3,Unfurnished,34358651
Delhi,Apartment,5,3,2676,17,2,Fully Furnished,29192287
Vadodara,House,5,3,3240,6,2,Semi Furnished,17374904
Surat,Villa,4,1,4149,19,3,Unfurnished,28850090
Surat,Apartment,4,1,2184,6,2,Fully Furnished,11247554
Jaipur,Villa,3,4,945,20,1,Fully Furnished,8922189
Rajkot,Apartment,3,1,2272,5,2,Unfurnished,9200860
Bangalore,Villa,4,4,1853,15,3,Fully Furnished,30539803
Rajkot,Apartment,5,1,502,0,0,Unfurnished,3094552
Ahmedabad,Villa,4,4,1806,3,0,Semi Furnished,14653967
Rajkot,Commercial,3,1,2793,13,0,Semi Furnished,18257592
Surat,Villa,2,3,4243,25,1,Unfurnished,28569802
Hyderabad,House,1,1,1205,23,1,Semi Furnished,12466723
Mumbai,Villa,1,4,1018,23,1,Unfurnished,19538922
Bangalore,Commercial,1,1,4574,13,3,Semi Furnished,78973924
Ahmedabad,Apartment,1,3,2806,23,3,Unfurnished,13032268
Ahmedabad,Villa,2,2,4169,25,0,Fully Furnished,30738066
Jaipur,Commercial,5,4,2396,22,0,Semi Furnished,22283158
Surat,Villa,4,4,4961,5,2,Fully Furnished,35902227
Delhi,House,3,3,3834,5,3,Semi Furnished,47973192
Pune,Villa,2,4,4942,13,2,Semi Furnished,68276844
Jaipur,Villa,2,3,3438,20,3,Semi Furnished,27819244
Vadodara,Apartment,3,2,3298,17,1,Fully Furnished,14283498
Rajkot,Commercial,1,4,1416,16,0,Fully Furnished,9879658
Jaipur,Apartment,3,2,2357,21,2,Semi Furnished,12261200
Pune,Villa,5,4,4785,21,3,Unfurnished,66719191
Bangalore,Apartment,2,4,1775,22,1,Fully Furnished,17963125
Delhi,Apartment,4,2,1091,22,2,Unfurnished,11985847
Mumbai,House,5,1,2064,0,0,Unfurnished,31081752
Surat,House,2,1,1049,8,3,Unfurnished,6279372
Pune,Commercial,1,3,3311,12,2,Unfurnished,51226843
Bangalore,Commercial,5,1,4525,1,3,Semi Furnished,79621071
Ahmedabad,Villa,4,4,4915,24,0,Semi Furnished,36656107
Hyderabad,Apartment,4,1,4493,24,0,Semi Furnished,37707005
Delhi,Apartment,1,2,1270,14,3,Fully Furnished,14203771
Rajkot,Commercial,1,3,3037,17,3,Unfurnished,19838652
Surat,Apartment,2,1,4647,14,0,Fully Furnished,20557436
Hyderabad,Villa,5,4,4888,20,0,Semi Furnished,65503944
Delhi,Commercial,2,4,2903,5,0,Semi Furnished,53476514
Bangalore,Apartment,2,1,2131,15,3,Unfurnished,20625469
Bangalore,House,4,1,2976,5,1,Semi Furnished,35668716
Rajkot,Commercial,1,1,1847,4,1,Fully Furnished,13226207
Ahmedabad,Commercial,4,3,4022,0,2,Fully Furnished,35348084
Surat,Commercial,4,1,2784,13,3,Unfurnished,22040381
Surat,Villa,3,4,3787,16,1,Unfurnished,26175529
Ahmedabad,House,1,2,2109,14,2,Fully Furnished,12664382
Hyderabad,Apartment,2,4,1449,17,0,Unfurnished,12269081
Vadodara,Villa,2,4,591,11,0,Fully Furnished,4925596
Surat,Villa,5,1,2984,25,1,Semi Furnished,21282992
Hyderabad,House,2,4,4418,15,1,Unfurnished,44028913
Bangalore,Apartment,2,2,4676,4,0,Semi Furnished,45660322
Surat,House,2,4,3463,7,2,Semi Furnished,18641091
Bangalore,Apartment,3,4,726,6,2,Semi Furnished,8768679
Jaipur,House,2,4,4674,13,1,Unfurnished,27893819
Mumbai,Commercial,1,4,753,13,0,Fully Furnished,17278763
Vadodara,Apartment,3,3,3721,8,3,Fully Furnished,16769970
Mumbai,Villa,3,4,4689,15,3,Fully Furnished,92441199
Jaipur,House,4,3,1245,22,3,Semi Furnished,9029817
Delhi,Apartment,3,3,2722,9,1,Semi Furnished,28634910
Rajkot,House,3,3,2071,10,3,Semi Furnished,10324929
Jaipur,Commercial,2,2,2916,6,2,Fully Furnished,27213381
Delhi,Villa,2,4,4760,5,0,Fully Furnished,77840619
Rajkot,House,5,3,1999,20,3,Semi Furnished,10253365
Bangalore,Commercial,3,4,4902,10,1,Semi Furnished,85049750
Mumbai,Apartment,4,4,526,2,1,Semi Furnished,8431103
Hyderabad,Villa,5,4,2131,8,0,Semi Furnished,30022060
Jaipur,Apartment,4,4,3669,10,0,Unfurnished,18651102
Surat,Villa,1,1,1075,8,0,Fully Furnished,8535221
Mumbai,House,1,4,2178,1,0,Unfurnished,31805044
Pune,Villa,3,4,2471,7,1,Fully Furnished,35928935
Mumbai,Villa,2,2,688,17,2,Unfurnished,13664789
Bangalore,House,5,1,1813,2,2,Semi Furnished,22498814
Surat,House,4,2,2482,14,1,Unfurnished,13440324
Mumbai,Apartment,1,2,3027,13,3,Semi Furnished,37222753
Rajkot,Apartment,1,4,4138,14,1,Fully Furnished,15936151
Jaipur,Commercial,1,3,2180,21,3,Semi Furnished,19959586
Pune,Villa,1,4,4657,19,3,Semi Furnished,64275650
Pune,House,1,4,1879,25,3,Unfurnished,19569314
Pune,Villa,4,3,2537,22,2,Unfurnished,35651075
Jaipur,Commercial,1,2,1029,14,0,Semi Furnished,9689985
Pune,Villa,4,1,4521,13,3,Semi Furnished,62904406
Bangalore,Villa,3,2,2704,11,2,Semi Furnished,42341577
Vadodara,House,5,2,797,12,2,Unfurnished,5119643
Surat,House,1,1,2551,2,2,Semi Furnished,13713308
Mumbai,House,4,3,2023,7,3,Semi Furnished,30980922
Delhi,Apartment,2,1,927,18,1,Semi Furnished,10244555
Hyderabad,Commercial,2,2,640,25,1,Fully Furnished,10352190
Surat,Apartment,3,2,4874,3,3,Fully Furnished,22782651
Vadodara,House,5,2,2512,25,0,Semi Furnished,12861299
Mumbai,Apartment,5,1,3726,4,1,Unfurnished,46303852
Vadodara,House,2,3,2787,14,1,Semi Furnished,13926812
Surat,House,2,1,1049,12,1,Unfurnished,5738113
Hyderabad,Commercial,4,4,4801,14,2,Fully Furnished,73237641
Mumbai,Commercial,2,4,1534,25,0,Unfurnished,33186383
Jaipur,Villa,3,1,3878,12,3,Semi Furnished,31274812
Ahmedabad,Villa,4,2,631,6,3,Fully Furnished,6797519
Hyderabad,House,3,4,2502,4,0,Unfurnished,25830032
Mumbai,Commercial,4,4,4310,11,1,Semi Furnished,94607749
Bangalore,Apartment,2,2,1329,9,2,Unfurnished,13468083
Hyderabad,Commercial,4,1,2908,11,3,Unfurnished,44399828
Surat,Villa,3,2,3042,16,1,Unfurnished,20948463
Vadodara,Villa,1,1,4673,6,2,Unfurnished,29829658
Bangalore,Villa,5,4,3342,19,2,Semi Furnished,52759241
Ahmedabad,Apartment,4,4,4050,24,0,Fully Furnished,20199608
Jaipur,Apartment,2,4,3204,21,3,Fully Furnished,17084280
Vadodara,House,2,1,3644,8,3,Unfurnished,17647846
Ahmedabad,Villa,1,2,2093,13,1,Semi Furnished,15603612
Bangalore,Villa,2,1,1042,5,0,Semi Furnished,16919510
Surat,House,4,2,4542,3,0,Fully Furnished,25098612
Pune,Villa,4,3,4988,23,2,Fully Furnished,69804194
Delhi,House,5,3,2509,7,0,Semi Furnished,32089877
Mumbai,Villa,5,3,4586,23,3,Unfurnished,89491131
Mumbai,Apartment,2,2,2293,7,3,Unfurnished,28294386
Delhi,Villa,4,4,3934,18,2,Semi Furnished,64379070
Rajkot,House,5,4,1043,24,2,Unfurnished,5887384
Bangalore,Commercial,2,4,4376,0,2,Semi Furnished,76253569
Mumbai,House,4,4,3746,18,1,Semi Furnished,55593398
Rajkot,Villa,2,2,3253,5,2,Fully Furnished,20086953
Surat,Apartment,1,1,569,4,3,Semi Furnished,3286599
Vadodara,Apartment,1,4,1954,1,1,Semi Furnished,8880183
Pune,Apartment,1,2,3037,10,0,Unfurnished,25800845
Ahmedabad,Apartment,2,2,3701,15,0,Semi Furnished,17385084
Jaipur,Apartment,5,3,1635,2,3,Fully Furnished,10670611
Vadodara,Apartment,4,2,2824,1,3,Semi Furnished,12909315
Hyderabad,Commercial,3,3,2905,20,3,Semi Furnished,44224346
Mumbai,Villa,2,2,4278,4,1,Unfurnished,82670912
Ahmedabad,Apartment,2,1,4177,4,1,Fully Furnished,20123509
Mumbai,Villa,3,2,4445,13,3,Unfurnished,86697940
Jaipur,Villa,2,4,777,11,1,Semi Furnished,7043150
Pune,Apartment,1,1,2565,12,1,Semi Furnished,22588519
Bangalore,Villa,4,2,3178,23,3,Fully Furnished,50310679
Jaipur,House,1,2,2552,13,0,Semi Furnished,15275327
Vadodara,Apartment,2,2,4700,19,3,Semi Furnished,19317080
Vadodara,Commercial,1,1,3455,22,2,Fully Furnished,25345243
Pune,Apartment,1,4,4604,6,1,Unfurnished,39832670
Delhi,Villa,5,4,4831,18,1,Semi Furnished,78787340
Hyderabad,Villa,5,4,864,9,2,Unfurnished,13187803
Jaipur,Apartment,4,4,4297,19,1,Semi Furnished,22034327
Hyderabad,Villa,3,1,2379,21,2,Semi Furnished,32215736
Ahmedabad,House,1,2,4180,7,3,Unfurnished,23447898
Ahmedabad,Apartment,3,4,633,16,2,Fully Furnished,4552182
Hyderabad,House,5,3,1449,7,3,Fully Furnished,17027708
Vadodara,House,1,4,1152,10,1,Semi Furnished,6063055
Surat,House,3,2,2894,21,2,Semi Furnished,15580484
Bangalore,House,2,3,1299,24,2,Semi Furnished,15977263
Delhi,Apartment,1,2,1494,0,1,Unfurnished,15523169
Vadodara,Apartment,4,3,1494,16,3,Fully Furnished,7904628
Hyderabad,Villa,1,3,1253,11,1,Semi Furnished,17162855
Delhi,Villa,1,1,1019,5,1,Semi Furnished,16947128
Delhi,House,4,3,744,10,3,Semi Furnished,10636600
Delhi,Commercial,2,2,2057,19,3,Fully Furnished,38371150
Rajkot,Commercial,5,4,3672,10,2,Unfurnished,24577603
Ahmedabad,Commercial,2,1,3411,0,2,Fully Furnished,29484279
Bangalore,Apartment,3,4,1198,4,0,Fully Furnished,13576798
Delhi,Apartment,5,2,4378,15,2,Unfurnished,44889057
Pune,House,3,4,2903,1,0,Unfurnished,30750387
Vadodara,Villa,4,2,2799,10,3,Unfurnished,19122514
Pune,Apartment,4,3,2956,13,0,Unfurnished,26100006
Pune,House,1,2,4800,19,0,Semi Furnished,49153881
Surat,Villa,3,3,1513,5,1,Fully Furnished,11925028
Rajkot,Apartment,3,3,4934,2,2,Fully Furnished,19480999
Surat,Commercial,1,3,3942,2,2,Semi Furnished,30756102
Vadodara,Apartment,1,1,1375,15,0,Semi Furnished,5816170
Bangalore,Apartment,3,2,2528,2,2,Unfurnished,25110122
Jaipur,Apartment,1,4,2289,23,1,Unfurnished,11446642
Rajkot,Commercial,1,3,2036,15,1,Unfurnished,13302397
Rajkot,Commercial,2,3,3320,4,3,Fully Furnished,23097534
Jaipur,Villa,3,2,1521,22,3,Semi Furnished,13153132
Ahmedabad,Apartment,4,2,2572,22,1,Fully Furnished,13167313
Jaipur,Apartment,2,2,829,7,1,Fully Furnished,5303026
Surat,Commercial,2,2,2765,3,0,Fully Furnished,22348815
Surat,Apartment,4,1,3296,6,3,Unfurnished,15097327
Surat,Villa,3,4,3602,21,2,Semi Furnished,25441779
Vadodara,House,4,3,2040,21,1,Semi Furnished,11084862
Mumbai,Commercial,1,3,525,13,3,Unfurnished,11779387
Ahmedabad,Commercial,5,3,2169,13,0,Semi Furnished,19041432
Mumbai,Villa,2,4,612,15,0,Fully Furnished,13351903
Pune,Villa,2,4,2145,22,2,Semi Furnished,30331568
Mumbai,House,4,2,4089,4,0,Unfurnished,60191105
Bangalore,House,5,2,1399,8,2,Fully Furnished,18365788
